Attrition,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Age Group,Current Employee,Daily Rate,Distance From Home,Distance Status,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Job Satisfaction Status,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Performance Status,Relationship Satisfaction,Stock Option Level,Total Working Years,Experience Status,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Rarely,Sales,Life Sciences,STAFF-1,Female,Sales Executive,Single,Yes,0,41,36-45,0,1102,17,Very-far,Associates Degree,2,94,3,2,4,utterly unsatisfied,5993,19479,8,11,3,High,1,0,8,0-10,1,6,4,0,5
No,Travel_Frequently,R&D,Life Sciences,STAFF-2,Male,Research Scientist,Married,No,3,49,46-55,1,279,8,Near-by,High School,3,61,2,2,2,Satisfied,5130,24907,1,23,4,Low,4,1,10,0-10,3,10,7,1,7
Yes,Travel_Rarely,R&D,Other,STAFF-3,Male,Laboratory Technician,Single,Yes,3,37,36-45,0,1373,24,Very-far,Associates Degree,4,92,2,1,3,Unsatisfied,2090,2396,6,15,3,High,2,0,7,0-10,3,0,0,0,0
Yes,Travel_Frequently,R&D,Life Sciences,STAFF-4,Female,Research Scientist,Married,Yes,3,33,26-35,1,1392,33,Very-far,Master's Degree,4,56,3,1,3,Unsatisfied,2909,23159,1,11,3,High,3,0,8,0-10,3,8,7,3,0
Yes,Travel_Rarely,R&D,Medical,STAFF-5,Male,Laboratory Technician,Married,No,3,27,26-35,1,591,24,Very-far,High School,1,40,3,1,2,Satisfied,3468,16632,9,12,3,High,4,1,6,0-10,3,2,2,2,2
Yes,Travel_Frequently,R&D,Life Sciences,STAFF-6,Male,Laboratory Technician,Single,No,2,32,26-35,1,1005,24,Very-far,Associates Degree,4,79,3,1,4,utterly unsatisfied,3068,11864,0,13,3,High,3,0,8,0-10,2,7,7,3,6
Yes,Travel_Rarely,R&D,Medical,STAFF-7,Female,Laboratory Technician,Married,Yes,3,59,55 Plus,1,1324,33,Very-far,Bachelor's Degree,3,81,4,1,1,Very Satisfied,2670,9964,4,20,4,Low,1,3,12,11.- 20,2,1,0,0,0
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-8,Male,Laboratory Technician,Divorced,No,2,30,26-35,1,1358,24,Very-far,High School,4,67,3,1,3,Unsatisfied,2693,13335,1,22,4,Low,2,1,1,0-10,3,1,0,0,0
Yes,Travel_Frequently,R&D,Life Sciences,STAFF-9,Male,Manufacturing Director,Single,No,2,38,36-45,1,216,23,Very-far,Bachelor's Degree,4,44,2,3,3,Unsatisfied,9526,8787,0,21,4,Low,2,0,10,0-10,3,9,7,1,8
Yes,Travel_Rarely,R&D,Medical,STAFF-10,Male,Healthcare Representative,Married,No,3,36,36-45,1,1299,27,Very-far,Bachelor's Degree,3,94,3,2,3,Unsatisfied,5237,16577,6,13,3,High,2,2,17,11.- 20,2,7,7,7,7
Yes,Travel_Rarely,R&D,Medical,STAFF-11,Male,Laboratory Technician,Married,No,5,35,26-35,1,809,16,Very-far,Bachelor's Degree,1,84,4,1,2,Satisfied,2426,16479,0,13,3,High,3,1,6,0-10,3,5,4,0,3
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-12,Female,Laboratory Technician,Single,Yes,3,29,26-35,1,153,15,Far,Associates Degree,4,49,2,2,3,Unsatisfied,4193,12682,0,12,3,High,4,0,10,0-10,3,9,5,0,8
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-13,Male,Research Scientist,Divorced,No,1,31,26-35,1,670,26,Very-far,High School,1,31,3,1,3,Unsatisfied,2911,15170,1,17,3,High,4,1,5,0-10,2,5,2,4,3
Yes,Travel_Rarely,R&D,Medical,STAFF-14,Male,Laboratory Technician,Divorced,No,2,34,26-35,1,1346,19,Very-far,Associates Degree,2,93,3,1,4,utterly unsatisfied,2661,8758,0,11,3,High,3,1,3,0-10,3,2,2,1,2
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-15,Male,Laboratory Technician,Single,Yes,4,28,26-35,0,103,24,Very-far,Bachelor's Degree,3,50,2,1,3,Unsatisfied,2028,12947,5,14,3,High,2,0,6,0-10,3,4,2,0,3
